method,trainable_params,trainable_pct,accuracy,macro_f1,train_time_s,peak_mem_mb
full_finetune,109541453,100.0,0.8577922077922078,0.8485122912955144,366.6,2155.4
lora_r8,354125,0.322,0.46915584415584416,0.4171062927943341,296.5,2575.1
